time,x,y,z
0.015,-0.091,0.115,0.747
0.015,-0.069,0.135,0.766
0.016,-0.058,0.153,0.783
0.022,-0.045,0.171,0.814
0.025,-0.034,0.186,0.822
0.029,-0.027,0.191,0.832
0.035,-0.03,0.188,0.847
0.039,-0.051,0.172,0.881
0.043,-0.054,0.151,0.919
0.05,-0.052,0.136,0.957
0.054,-0.05,0.117,1
0.058,-0.049,0.088,1.035
0.07,-0.065,0.059,1.061
0.071,-0.067,0.046,1.078
0.073,-0.07,0.035,1.076
0.079,-0.082,0.026,1.072
0.087,-0.095,0.012,1.073
0.089,-0.108,0.014,1.069
0.094,-0.117,0.013,1.071
0.104,-0.118,0.015,1.061
0.105,-0.114,0.025,1.051
0.108,-0.107,0.032,1.033
0.119,-0.098,0.039,1.023
0.119,-0.094,0.044,1.016
0.123,-0.094,0.049,1.016
0.128,-0.086,0.055,1.01
0.134,-0.084,0.058,1.005
0.138,-0.085,0.057,1.007
0.144,-0.079,0.06,0.991
0.149,-0.07,0.062,0.981
0.154,-0.071,0.06,0.975
0.158,-0.071,0.063,0.97
0.166,-0.069,0.058,0.968
0.169,-0.068,0.065,0.96
0.173,-0.065,0.065,0.962
0.179,-0.066,0.061,0.962
0.189,-0.069,0.061,0.972
0.19,-0.072,0.06,0.978
0.194,-0.072,0.06,0.985
0.199,-0.067,0.06,0.985
0.204,-0.067,0.058,0.994
0.209,-0.062,0.055,0.998
0.217,-0.061,0.047,1.004
0.219,-0.058,0.05,1.01
0.224,-0.059,0.048,1.013
0.232,-0.064,0.045,1.004
0.234,-0.069,0.046,1.012
0.239,-0.074,0.047,1.016
0.244,-0.076,0.046,1.013
0.249,-0.077,0.045,1.014
0.254,-0.079,0.042,1.014
0.258,-0.079,0.043,1.008
0.265,-0.077,0.043,1.005
0.269,-0.08,0.041,0.998
0.274,-0.082,0.04,0.993
0.281,-0.084,0.042,0.981
0.284,-0.081,0.047,0.977
0.289,-0.079,0.052,0.969
0.294,-0.076,0.058,0.973
0.299,-0.076,0.067,0.97
0.304,-0.076,0.074,0.964
0.309,-0.079,0.078,0.959
0.321,-0.08,0.079,0.953
0.322,-0.081,0.078,0.95
0.324,-0.08,0.075,0.946
0.33,-0.074,0.074,0.946
0.334,-0.072,0.072,0.944
0.339,-0.071,0.071,0.94
0.344,-0.071,0.071,0.942
0.351,-0.076,0.067,0.946
0.354,-0.079,0.063,0.947
0.359,-0.079,0.061,0.956
0.364,-0.08,0.062,0.965
0.369,-0.082,0.06,0.969
0.373,-0.081,0.059,0.98
0.38,-0.076,0.062,0.995
0.384,-0.072,0.067,1.003
0.389,-0.066,0.069,1.005
0.399,-0.064,0.067,1.004
0.399,-0.068,0.066,1
0.404,-0.071,0.066,0.988
0.409,-0.076,0.06,0.976
0.414,-0.083,0.06,0.969
0.419,-0.087,0.065,0.962
0.424,-0.09,0.067,0.955
0.437,-0.09,0.069,0.949
0.437,-0.088,0.071,0.954
0.439,-0.084,0.073,0.963
0.446,-0.078,0.073,0.968
0.449,-0.072,0.072,0.973
0.454,-0.068,0.07,0.978
0.459,-0.067,0.065,0.978
0.467,-0.072,0.065,0.97
0.469,-0.077,0.065,0.963
0.474,-0.076,0.065,0.963
0.479,-0.074,0.066,0.958
0.484,-0.075,0.072,0.952
0.489,-0.076,0.072,0.953
0.496,-0.073,0.071,0.954
0.499,-0.068,0.074,0.953
0.524,-0.068,0.074,0.95
0.525,-0.066,0.075,0.953
0.526,-0.068,0.078,0.951
0.527,-0.072,0.077,0.949
0.527,-0.077,0.077,0.952
0.536,-0.079,0.079,0.961
0.537,-0.077,0.077,0.961
0.539,-0.072,0.073,0.958
0.558,-0.069,0.071,0.957
0.559,-0.069,0.071,0.96
0.56,-0.071,0.068,0.961
0.561,-0.074,0.067,0.958
0.569,-0.076,0.065,0.959
0.569,-0.076,0.068,0.962
0.574,-0.07,0.071,0.968
0.579,-0.066,0.075,0.97
0.584,-0.076,0.077,0.972
0.589,-0.075,0.078,0.984
0.6,-0.065,0.076,0.991
0.604,-0.061,0.074,0.994
0.605,-0.063,0.072,0.991
0.611,-0.068,0.072,0.996
0.614,-0.072,0.066,1.002
0.619,-0.068,0.063,0.994
0.624,-0.066,0.068,0.986
0.629,-0.062,0.068,0.973
0.634,-0.067,0.063,0.962
0.639,-0.074,0.064,0.958
0.644,-0.077,0.06,0.947
0.649,-0.078,0.059,0.951
0.654,-0.075,0.06,0.953
0.66,-0.073,0.06,0.945
0.664,-0.07,0.06,0.95
0.669,-0.074,0.063,0.949
0.674,-0.075,0.063,0.948
0.679,-0.071,0.066,0.957
0.684,-0.076,0.065,0.966
0.689,-0.074,0.065,0.973
