time,x,y,z
0.005,0.039,1.014,-0.001
0.005,0.037,1.006,-0.012
0.01,0.043,1,-0.012
0.015,0.042,0.994,-0.004
0.02,0.043,0.986,0.001
0.026,0.048,0.98,-0.013
0.033,0.052,0.972,-0.005
0.035,0.048,0.971,0.003
0.04,0.045,0.969,-0.003
0.052,0.051,0.976,0.008
0.057,0.043,0.972,-0.002
0.06,0.049,0.977,0.004
0.069,0.043,0.974,0.009
0.07,0.043,0.982,0.009
0.077,0.038,0.981,0.011
0.092,0.041,0.98,0.006
0.093,0.045,0.982,0.001
0.093,0.042,0.983,0.001
0.099,0.041,0.984,0.004
0.1,0.044,0.987,0.005
0.105,0.042,0.987,0.003
0.11,0.042,0.986,0.006
0.115,0.04,0.983,0.002
0.12,0.043,0.983,0.007
0.125,0.047,0.987,0.006
0.131,0.042,0.986,0.003
0.135,0.041,0.984,0.006
0.14,0.04,0.989,0.003
0.148,0.041,0.989,0.001
0.15,0.039,0.99,0.001
0.155,0.037,0.992,0.005
0.16,0.035,0.991,0.004
0.165,0.035,0.985,0.003
0.17,0.035,0.986,0.001
0.175,0.039,0.983,0
0.187,0.037,0.983,-0.002
0.187,0.036,0.986,-0.004
0.193,0.043,0.987,0.001
0.199,0.045,0.985,0.005
0.2,0.044,0.983,0.005
0.205,0.044,0.982,0.003
0.21,0.045,0.983,-0.004
0.222,0.045,0.985,-0.004
0.223,0.044,0.987,-0.004
0.225,0.045,0.987,-0.002
0.23,0.046,0.989,0.006
0.235,0.043,0.987,0.007
0.24,0.044,0.988,0.009
0.246,0.042,0.985,0.005
0.25,0.04,0.986,0.001
0.255,0.04,0.986,0.003
0.262,0.044,0.988,0.001
0.265,0.044,0.989,-0.003
0.27,0.041,0.988,-0.001
0.275,0.041,0.986,0.003
0.28,0.042,0.984,0.01
0.285,0.044,0.983,0.01
0.29,0.045,0.984,0.007
0.296,0.044,0.984,0.004
0.3,0.043,0.984,0.003
0.305,0.043,0.985,0.007
0.319,0.044,0.987,0.008
0.32,0.042,0.985,0.005
0.321,0.041,0.986,0.005
0.325,0.04,0.987,0.007
0.331,0.038,0.985,0.005
0.335,0.038,0.985,0.004
0.34,0.036,0.989,0.004
0.352,0.036,0.987,0.003
0.352,0.036,0.986,0.004
0.355,0.035,0.988,0.004
0.362,0.037,0.988,0.004
0.365,0.035,0.988,0.004
0.37,0.03,0.982,0.006
0.375,0.032,0.979,0.008
0.38,0.034,0.982,0.009
0.384,0.032,0.985,0.01
0.39,0.032,0.984,0.008
0.395,0.036,0.984,0.009
